FIPS,Geographic Name,Geographic Subtype,Total Vote,Lyndon Johnson,Barry Goldwater,Unpledged Elector,Eric Hass,Clifton DeBerry,E. Harold Munn,Write-in,John Kasper,Joseph Lightburn,Kirby Hensley
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10
1001,Autauga,County,3459,0,2969,490,0,0,0,0,0,0,0
1003,Baldwin,County,13400,0,10870,2530,0,0,0,0,0,0,0
1005,Barbour,County,4831,0,3853,978,0,0,0,0,0,0,0
1007,Bibb,County,3125,0,2623,502,0,0,0,0,0,0,0
1009,Blount,County,6869,0,4442,2427,0,0,0,0,0,0,0
1011,Bullock,County,2630,0,1516,1114,0,0,0,0,0,0,0
1013,Butler,County,4975,0,4002,973,0,0,0,0,0,0,0
1015,Calhoun,County,16845,0,10635,6210,0,0,0,0,0,0,0
1017,Chambers,County,7187,0,4630,2557,0,0,0,0,0,0,0
1019,Cherokee,County,3809,0,1893,1916,0,0,0,0,0,0,0
1021,Chilton,County,6847,0,5202,1645,0,0,0,0,0,0,0
1023,Choctaw,County,2910,0,2497,413,0,0,0,0,0,0,0
1025,Clarke,County,5384,0,4460,924,0,0,0,0,0,0,0
1027,Clay,County,4014,0,2815,1199,0,0,0,0,0,0,0
1029,Cleburne,County,2828,0,2156,672,0,0,0,0,0,0,0
1031,Coffee,County,6123,0,4910,1213,0,0,0,0,0,0,0
1033,Colbert,County,10840,0,5267,5573,0,0,0,0,0,0,0
1035,Conecuh,County,3421,0,2782,639,0,0,0,0,0,0,0
1037,Coosa,County,2718,0,1978,740,0,0,0,0,0,0,0
1039,Covington,County,9175,0,7554,1621,0,0,0,0,0,0,0
1041,Crenshaw,County,3824,0,3008,816,0,0,0,0,0,0,0
1043,Cullman,County,12262,0,7152,5110,0,0,0,0,0,0,0
1045,Dale,County,5933,0,4970,963,0,0,0,0,0,0,0
1047,Dallas,County,6607,0,5888,719,0,0,0,0,0,0,0
1049,DeKalb,County,11694,0,6746,4948,0,0,0,0,0,0,0
1051,Elmore,County,7596,0,6363,1233,0,0,0,0,0,0,0
1053,Escambia,County,7551,0,5623,1928,0,0,0,0,0,0,0
1055,Etowah,County,21833,0,12894,8939,0,0,0,0,0,0,0
1057,Fayette,County,4490,0,3203,1287,0,0,0,0,0,0,0
1059,Franklin,County,7135,0,4025,3110,0,0,0,0,0,0,0
1061,Geneva,County,5576,0,4502,1074,0,0,0,0,0,0,0
1063,Greene,County,1711,0,1124,587,0,0,0,0,0,0,0
1065,Hale,County,2446,0,1898,548,0,0,0,0,0,0,0
1067,Henry,County,3485,0,2896,589,0,0,0,0,0,0,0
1069,Houston,County,11774,0,10353,1421,0,0,0,0,0,0,0
1071,Jackson,County,5875,0,2730,3145,0,0,0,0,0,0,0
1073,Jefferson,County,138838,0,100756,38082,0,0,0,0,0,0,0
1075,Lamar,County,3775,0,2734,1041,0,0,0,0,0,0,0
1077,Lauderdale,County,12571,0,5978,6593,0,0,0,0,0,0,0
1079,Lawrence,County,3617,0,1809,1808,0,0,0,0,0,0,0
1081,Lee,County,7516,0,5914,1602,0,0,0,0,0,0,0
1083,Limestone,County,5404,0,2377,3027,0,0,0,0,0,0,0
1085,Lowndes,County,1858,0,1548,310,0,0,0,0,0,0,0
1087,Macon,County,4831,0,1858,2973,0,0,0,0,0,0,0
1089,Madison,County,27496,0,14279,13217,0,0,0,0,0,0,0
1091,Marengo,County,4466,0,3677,789,0,0,0,0,0,0,0
1093,Marion,County,5713,0,3966,1747,0,0,0,0,0,0,0
1095,Marshall,County,10140,0,5712,4428,0,0,0,0,0,0,0
1097,Mobile,County,69981,0,49493,20488,0,0,0,0,0,0,0
1099,Monroe,County,4756,0,3870,886,0,0,0,0,0,0,0
1101,Montgomery,County,30497,0,23015,7482,0,0,0,0,0,0,0
1103,Morgan,County,12381,0,7013,5368,0,0,0,0,0,0,0
1105,Perry,County,2566,0,2046,520,0,0,0,0,0,0,0
1107,Pickens,County,4162,0,3416,746,0,0,0,0,0,0,0
1109,Pike,County,5176,0,4373,803,0,0,0,0,0,0,0
1111,Randolph,County,4991,0,3127,1864,0,0,0,0,0,0,0
1113,Russell,County,6414,0,4877,1537,0,0,0,0,0,0,0
1115,St. Clair,County,6802,0,4813,1989,0,0,0,0,0,0,0
1117,Shelby,County,7980,0,6037,1943,0,0,0,0,0,0,0
1119,Sumter,County,2058,0,1653,405,0,0,0,0,0,0,0
1121,Talladega,County,12658,0,8946,3712,0,0,0,0,0,0,0
1123,Tallapoosa,County,7263,0,5530,1733,0,0,0,0,0,0,0
1125,Tuscaloosa,County,19263,0,13227,6036,0,0,0,0,0,0,0
1127,Walker,County,14692,0,8582,6110,0,0,0,0,0,0,0
1129,Washington,County,3994,0,2803,1191,0,0,0,0,0,0,0
1131,Wilcox,County,1946,0,1789,157,0,0,0,0,0,0,0
1133,Winston,County,4829,0,3438,1391,0,0,0,0,0,0,0
4001,Apache,County,3892,2042,1849,0,1,0,0,0,0,0,0
4003,Cochise,County,16697,9045,7644,0,8,0,0,0,0,0,0
4005,Coconino,County,11037,5270,5756,0,11,0,0,0,0,0,0
4007,Gila,County,10537,6821,3713,0,3,0,0,0,0,0,0
4009,Graham,County,5438,2783,2655,0,0,0,0,0,0,0,0
4011,Greenlee,County,4279,3147,1132,0,0,0,0,0,0,0,0
4013,Maricopa,County,265326,122042,143114,0,170,0,0,0,0,0,0
4015,Mohave,County,4339,2243,2091,0,5,0,0,0,0,0,0
4017,Navajo,County,9649,4770,4870,0,9,0,0,0,0,0,0
4019,Pima,County,101278,54120,46955,0,203,0,0,0,0,0,0
4021,Pinal,County,16872,9911,6956,0,5,0,0,0,0,0,0
4023,Santa Cruz,County,3460,1955,1503,0,2,0,0,0,0,0,0
4025,Yavapai,County,13556,5747,7749,0,60,0,0,0,0,0,0
4027,Yuma,County,14410,7857,6548,0,5,0,0,0,0,0,0
5001,Arkansas,County,6990,3200,3769,0,0,0,0,0,21,0,0
5003,Ashley,County,6710,2901,3742,0,0,0,0,0,67,0,0
5005,Baxter,County,4891,2900,1986,0,0,0,0,0,5,0,0
5007,Benton,County,11662,5655,5977,0,0,0,0,0,30,0,0
5009,Boone,County,6646,3770,2857,0,0,0,0,0,19,0,0
5011,Bradley,County,4102,2229,1852,0,0,0,0,0,21,0,0
5013,Calhoun,County,2322,1409,889,0,0,0,0,0,24,0,0
5015,Carroll,County,4110,2005,2105,0,0,0,0,0,0,0,0
5017,Chicot,County,4903,2916,1972,0,0,0,0,0,15,0,0
5019,Clark,County,6037,4127,1884,0,0,0,0,0,26,0,0
5021,Clay,County,5321,3280,1999,0,0,0,0,0,42,0,0
5023,Cleburne,County,3875,2645,1221,0,0,0,0,0,9,0,0
5025,Cleveland,County,2165,1121,1026,0,0,0,0,0,18,0,0
5027,Columbia,County,7533,3485,4009,0,0,0,0,0,39,0,0
5029,Conway,County,6602,4205,2378,0,0,0,0,0,19,0,0
5031,Craighead,County,13541,8334,5163,0,0,0,0,0,44,0,0
5033,Crawford,County,6852,3537,3294,0,0,0,0,0,21,0,0
5035,Crittenden,County,8302,4168,4065,0,0,0,0,0,69,0,0
5037,Cross,County,4580,2421,2147,0,0,0,0,0,12,0,0
5039,Dallas,County,3447,1779,1625,0,0,0,0,0,43,0,0
5041,Desha,County,5236,3294,1930,0,0,0,0,0,12,0,0
5043,Drew,County,4121,1980,2109,0,0,0,0,0,32,0,0
5045,Faulkner,County,9417,6116,3259,0,0,0,0,0,42,0,0
5047,Franklin,County,4298,2685,1580,0,0,0,0,0,33,0,0
5049,Fulton,County,2557,1704,846,0,0,0,0,0,7,0,0
5051,Garland,County,21629,11591,9952,0,0,0,0,0,86,0,0
5053,Grant,County,3047,1678,1308,0,0,0,0,0,61,0,0
5055,Greene,County,7037,4742,2271,0,0,0,0,0,24,0,0
5057,Hempstead,County,5891,3355,2493,0,0,0,0,0,43,0,0
5059,Hot Spring,County,7522,4543,2911,0,0,0,0,0,68,0,0
5061,Howard,County,3063,1320,1649,0,0,0,0,0,94,0,0
5063,Independence,County,6960,4455,2470,0,0,0,0,0,35,0,0
5065,Izard,County,2486,1736,726,0,0,0,0,0,24,0,0
5067,Jackson,County,6828,4651,2141,0,0,0,0,0,36,0,0
5069,Jefferson,County,22969,12872,9968,0,0,0,0,0,129,0,0
5071,Johnson,County,4683,3127,1535,0,0,0,0,0,21,0,0
5073,Lafayette,County,2967,1484,1476,0,0,0,0,0,7,0,0
5075,Lawrence,County,5538,3498,2013,0,0,0,0,0,27,0,0
5077,Lee,County,4011,2335,1668,0,0,0,0,0,8,0,0
5079,Lincoln,County,3882,2468,1410,0,0,0,0,0,4,0,0
5081,Little River,County,3194,2040,1141,0,0,0,0,0,13,0,0
5083,Logan,County,5896,3604,2265,0,0,0,0,0,27,0,0
5085,Lonoke,County,7477,3818,3636,0,0,0,0,0,23,0,0
5087,Madison,County,4726,2715,1997,0,0,0,0,0,14,0,0
