OBJECTID,Comptroller County Number,Department Of Public Safety County Number,Federal Information Processing Standards,Texas Department Of Transportation County Number,Texas Department Of Transportation District Number,County Name,County Number,District Number,Geometry ID,Shape__Area,Shape__Length
1,232,232,48463,232,15,Uvalde,232,15,35,5353345968.35938,293254.502225364
2,143,143,48285,143,13,Lavaca,143,13,36,3324197352.14453,228583.901842133
3,20,20,48039,20,12,Brazoria,20,12,37,5068514500.89063,362185.783456463
4,241,241,48481,241,13,Wharton,241,13,38,3738449440.95703,291067.695943535
5,163,163,48325,163,15,Medina,163,15,39,4583274741.67969,299528.362345965
6,84,84,48167,85,12,Galveston,85,12,40,2284224268.82813,333429.741313573
7,15,15,48029,15,15,Bexar,15,15,41,4309667318.60547,326284.996403819
8,89,89,48177,90,13,Gonzales,90,13,42,3669415670.73828,253256.410868266
9,79,79,48157,80,12,Fort Bend,80,12,43,3040344916.44531,296139.828442463
10,94,94,48187,95,15,Guadalupe,95,15,44,2458985395.23047,282093.241829196
11,10,10,48019,10,15,Bandera,10,15,45,2750063708.89453,245312.460794837
12,45,45,48089,45,13,Colorado,45,13,46,3349390120.03906,281337.183139963
13,36,36,48071,36,20,Chambers,36,20,47,2992380039.02344,301610.310870329
14,46,46,48091,46,15,Comal,46,15,48,1985145386.45703,230074.942310109
15,193,193,48385,193,7,Real,193,7,49,2417092200.45703,222651.929806939
16,28,28,48055,28,14,Caldwell,28,14,50,1887989473.1875,221415.412379182
17,130,130,48259,131,15,Kendall,131,15,51,2294841242.82813,191314.846593875
18,8,8,48015,8,13,Austin,8,13,52,2268677800.63672,293091.922833586
19,75,75,48149,76,13,Fayette,76,13,53,3316479618.98828,241232.880405541
20,101,101,48201,102,12,Harris,102,12,54,6140883428.16406,483658.278886278
21,69,69,48137,70,7,Edwards,70,7,55,7345456456.01172,397493.208312556
22,133,133,48265,133,15,Kerr,133,15,56,3841344091.51953,304579.612792541
23,233,233,48465,233,22,Val Verde,233,22,57,11177468162.2109,531072.53525788
24,237,237,48473,237,12,Waller,237,12,58,1794914852.89453,291622.799116634
25,123,123,48245,124,20,Jefferson,124,20,59,3436496854.125,332770.484236591
26,105,105,48209,106,14,Hays,106,14,60,2354128850.94141,216452.118375871
27,181,181,48361,181,20,Orange,181,20,61,1293835874.46875,200602.220851675
28,11,11,48021,11,14,Bastrop,11,14,62,3108788221.36328,220230.494681013
29,239,239,48477,239,17,Washington,239,17,63,2161690737.78125,300186.510542696
30,86,86,48171,87,14,Gillespie,87,14,64,3701258793.56641,252208.19924477
31,16,16,48031,16,14,Blanco,16,14,65,2486558873.82422,204324.336839773
32,144,144,48287,144,14,Lee,144,14,66,2210552662.62891,262195.948693429
33,146,146,48291,146,20,Liberty,146,20,67,4081337369.19141,286352.570406138
34,227,227,48453,227,14,Travis,227,14,68,3575026008.98828,294352.532404968
35,100,100,48199,101,20,Hardin,101,20,69,3130794340.96484,320241.525249226
36,222,222,48443,222,6,Terrell,222,6,70,8210230573.61719,461088.865562806
37,170,170,48339,170,12,Montgomery,170,12,71,3753938851.23828,323383.902509866
38,218,218,48435,218,7,Sutton,218,7,72,5074953303.39844,296299.593492822
39,134,134,48267,134,7,Kimble,134,7,73,4373951197.24609,290280.635054103
40,22,22,48043,22,24,Brewster,22,24,74,21376576835.2813,722813.445951286
41,189,189,48377,189,24,Presidio,189,24,75,13361579314.6484,635231.235946764
42,26,26,48051,26,17,Burleson,26,17,76,2372143024.65234,294023.681270136
43,246,246,48491,246,14,Williamson,246,14,77,3988776749.43359,293706.406001728
44,93,93,48185,94,17,Grimes,94,17,78,2810090500.05078,292122.14710261
45,150,150,48299,150,14,Llano,150,14,79,3396922490.55469,273821.330876169
46,157,160,48319,157,14,Mason,157,14,80,3282361861.82422,230404.421093408
47,204,204,48407,204,11,San Jacinto,204,11,81,2202546837.98438,263747.994099175
48,21,21,48041,21,17,Brazos,21,17,82,2073141887.41016,337649.423106951
49,27,27,48053,27,14,Burnet,27,14,83,3592346440.33203,296848.01645388
50,164,164,48327,164,7,Menard,164,7,84,3183258949.02344,238416.876234932
51,207,207,48413,207,7,Schleicher,207,7,85,4638027337.32813,286122.157895415
52,53,53,48105,53,7,Crockett,53,7,86,9874638658.62891,596800.361419741
53,236,236,48471,236,17,Walker,236,17,87,2817916034.77344,260265.268456249
54,166,166,48331,166,17,Milam,166,17,88,3596463986.39063,274429.267413033
55,154,157,48313,154,17,Madison,154,17,89,1668186668.97266,235040.156967595
56,122,122,48243,123,24,Jeff Davis,123,24,90,7961688118.54688,395023.658510744
57,229,229,48457,229,20,Tyler,229,20,91,3293011335.80078,319918.946843303
58,187,187,48373,187,11,Polk,187,11,92,3910236107.65625,333214.030389935
59,121,121,48241,122,20,Jasper,122,20,93,3411867497.82031,454632.464715799
60,14,14,48027,14,9,Bell,14,9,94,3846119961.66406,257507.083394679
61,176,176,48351,176,20,Newton,176,20,95,3309528060.6875,444380.88323527
62,186,186,48371,186,6,Pecos,186,6,96,16769576336.3477,728746.705776602
63,198,198,48395,198,17,Robertson,198,17,97,3061969639.48828,298686.069898238
64,141,141,48281,141,23,Lampasas,141,23,98,2535330755.92969,236152.032197136
65,228,228,48455,228,11,Trinity,228,11,99,2526117594.625,268132.461321614
66,206,206,48411,206,23,San Saba,206,23,100,4037124195.15625,373912.991309498
